Name,Category,Maker,Price,Inventory,Expiry-Date,Prescription,Strength,Dosage
Alvedon 500,Smärtstillande,PharmaNord,49.90,120,2028-05-12,Nej,500 mg,Tablett
Ibumax 400,Smärtstillande,MediCare,59.90,85,2027-11-20,Nej,400 mg,Tablett
Näsfri,Allergi,Nordic Health,89.90,45,2027-08-15,Nej,10 mg/ml,Nässpray
Hostex,Hostmedicin,Apotek Pharma,74.90,30,2027-06-10,Nej,15 mg/5 ml,Oral lösning
Penicor,Antibiotika,MedLife,129.90,20,2027-03-18,Ja,250 mg,Kapsel
Cetrizin Plus,Allergi,HealthGen,39.90,90,2028-01-25,Nej,10 mg,Tablett
OmepraCare,Mage & Tarm,GastroMed,79.90,70,2028-09-01,Nej,20 mg,Kapsel
Voltaren Gel,Smärtstillande,NovaPharm,99.90,40,2027-12-12,Nej,11.6 mg/g,Salva
InsuFast,Diabetes,LifeMed,349.90,15,2027-05-30,Ja,100 E/ml,Injektionsvätska
AsthmoAir,Astma,BreathCare,249.90,18,2028-04-21,Ja,200 mcg,Dosinhalator
Vitamin D Forte,Vitaminer,Nordic Health,69.90,100,2029-02-11,Nej,50 mcg,Tablett
Magnesium Plus,Mineraler,Wellness Labs,89.90,75,2028-07-08,Nej,250 mg,Tablett
Kylsalva Original,Hudvård,DermoCare,54.90,35,2028-10-17,Nej,5 %,Salva
Hydrokort Kräm,Hudvård,DermoCare,79.90,28,2027-09-09,Nej,1 %,Kräm
Migrastop,Smärtstillande,NeuroPharm,119.90,22,2027-04-04,Ja,50 mg,Tablett
SömnLugn,Sömnmedel,SleepWell,139.90,12,2027-08-28,Ja,10 mg,Tablett
JärnMax,Tillskott,NutriMed,64.90,95,2029-01-14,Nej,100 mg,Tablett
Omega Balance,Tillskott,NutriMed,109.90,50,2028-06-06,Nej,1000 mg,Kapsel
BarnFeber,Smärtstillande,KidsHealth,59.90,60,2027-11-03,Nej,24 mg/ml,Oral suspension
ÖgonDropp Plus,Ögonvård,VisionCare,84.90,42,2028-03-27,Nej,2 mg/ml,Ögondroppar
HjärtaCare,Hjärtmedicin,CardioMed,199.90,25,2027-07-16,Ja,5 mg,Tablett
BlodTryck Forte,Hjärtmedicin,CardioMed,189.90,20,2027-12-01,Ja,10 mg,Tablett
LaxaMild,Mage & Tarm,GastroMed,69.90,55,2028-08-19,Nej,15 mg,Tablett
Probiotika Aktiv,Mage & Tarm,BioHealth,129.90,38,2028-05-05,Nej,10 miljarder CFU,Kapsel
Zink Plus,Tillskott,NutriMed,59.90,88,2029-03-09,Nej,25 mg,Tablett
AntiKlåda,Hudvård,DermoCare,74.90,31,2028-01-20,Nej,2 %,Kräm
NikotinStop,Rökavvänjning,HealthGen,149.90,26,2027-10-25,Nej,14 mg,Plåster
EnergiBoost,Vitaminer,Wellness Labs,79.90,67,2028-11-13,Nej,B-komplex,Tablett
KalkMax,Mineraler,Nordic Health,69.90,73,2029-04-18,Nej,500 mg,Tablett
LedFlex,Hälsa & Leder,JointCare,159.90,29,2028-09-30,Nej,750 mg,Kapsel
